standard,nutrient_key,display_name,category,sex,life_stage,age_min_months,age_max_months,target_value,target_min_value,target_max_value,unit,reference_type,source,notes
DRI_US_CA,PROTEIN,Protein,MACRO,ANY,INFANT,7,12,1.0,,,g/kg,EAR,DRI estimated average requirement table provided by user,normalized 7–12 mo infant row; blank cells omitted
DRI_US_CA,IRON,Iron,MINERAL,ANY,INFANT,7,12,6.9,,,mg,EAR,DRI estimated average requirement table provided by user,normalized 7–12 mo infant row; blank cells omitted
DRI_US_CA,ZINC,Zinc,MINERAL,ANY,INFANT,7,12,2.5,,,mg,EAR,DRI estimated average requirement table provided by user,normalized 7–12 mo infant row; blank cells omitted
DRI_US_CA,CALCIUM,Calcium,MINERAL,ANY,CHILD,12,36,500,,,mg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,CARBOHYDRATE,Carbohydrate,MACRO,ANY,CHILD,12,36,100,,,g,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,PROTEIN,Protein,MACRO,ANY,CHILD,12,36,0.87,,,g/kg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,VITAMIN_A,Vitamin A,VITAMIN,ANY,CHILD,12,36,210,,,μg,EAR,DRI estimated average requirement table provided by user,header footnote: a
DRI_US_CA,VITAMIN_C,Vitamin C,VITAMIN,ANY,CHILD,12,36,13,,,mg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,VITAMIN_D,Vitamin D,VITAMIN,ANY,CHILD,12,36,10,,,μg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,VITAMIN_E,Vitamin E,VITAMIN,ANY,CHILD,12,36,5,,,mg,EAR,DRI estimated average requirement table provided by user,header footnote: b
DRI_US_CA,THIAMIN,Thiamin,VITAMIN,ANY,CHILD,12,36,0.4,,,mg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,RIBOFLAVIN,Riboflavin,VITAMIN,ANY,CHILD,12,36,0.4,,,mg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,NIACIN,Niacin,VITAMIN,ANY,CHILD,12,36,5,,,mg,EAR,DRI estimated average requirement table provided by user,header footnote: c
DRI_US_CA,VITAMIN_B6,Vitamin B6,VITAMIN,ANY,CHILD,12,36,0.4,,,mg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,FOLATE,Folate,VITAMIN,ANY,CHILD,12,36,120,,,μg,EAR,DRI estimated average requirement table provided by user,header footnote: d
DRI_US_CA,VITAMIN_B12,Vitamin B12,VITAMIN,ANY,CHILD,12,36,0.7,,,μg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,COPPER,Copper,MINERAL,ANY,CHILD,12,36,260,,,μg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,IODINE,Iodine,MINERAL,ANY,CHILD,12,36,65,,,μg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,IRON,Iron,MINERAL,ANY,CHILD,12,36,3.0,,,mg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,ANY,CHILD,12,36,65,,,mg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,ANY,CHILD,12,36,13,,,μg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,ANY,CHILD,12,36,380,,,mg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,SELENIUM,Selenium,MINERAL,ANY,CHILD,12,36,17,,,μg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,ZINC,Zinc,MINERAL,ANY,CHILD,12,36,2.5,,,mg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,CALCIUM,Calcium,MINERAL,ANY,CHILD,48,96,800,,,mg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,CARBOHYDRATE,Carbohydrate,MACRO,ANY,CHILD,48,96,100,,,g,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,PROTEIN,Protein,MACRO,ANY,CHILD,48,96,0.76,,,g/kg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,VITAMIN_A,Vitamin A,VITAMIN,ANY,CHILD,48,96,275,,,μg,EAR,DRI estimated average requirement table provided by user,header footnote: a
DRI_US_CA,VITAMIN_C,Vitamin C,VITAMIN,ANY,CHILD,48,96,22,,,mg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,VITAMIN_D,Vitamin D,VITAMIN,ANY,CHILD,48,96,10,,,μg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,VITAMIN_E,Vitamin E,VITAMIN,ANY,CHILD,48,96,6,,,mg,EAR,DRI estimated average requirement table provided by user,header footnote: b
DRI_US_CA,THIAMIN,Thiamin,VITAMIN,ANY,CHILD,48,96,0.5,,,mg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,RIBOFLAVIN,Riboflavin,VITAMIN,ANY,CHILD,48,96,0.5,,,mg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,NIACIN,Niacin,VITAMIN,ANY,CHILD,48,96,6,,,mg,EAR,DRI estimated average requirement table provided by user,header footnote: c
DRI_US_CA,VITAMIN_B6,Vitamin B6,VITAMIN,ANY,CHILD,48,96,0.5,,,mg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,FOLATE,Folate,VITAMIN,ANY,CHILD,48,96,160,,,μg,EAR,DRI estimated average requirement table provided by user,header footnote: d
DRI_US_CA,VITAMIN_B12,Vitamin B12,VITAMIN,ANY,CHILD,48,96,1.0,,,μg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,COPPER,Copper,MINERAL,ANY,CHILD,48,96,340,,,μg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,IODINE,Iodine,MINERAL,ANY,CHILD,48,96,65,,,μg,EAR,DRI estimated average requirement table provided by user,
DRI_US_CA,IRON,Iron,MINERAL,ANY,CHILD,48,96,4.1,,,mg,EAR,DRI estimated average requirement table provided by user,
