standard,nutrient_key,display_name,category,sex,life_stage,age_min_months,age_max_months,target_value,target_min_value,target_max_value,unit,reference_type,source,notes
DRI_US_CA,TOTAL_WATER,Total Water,WATER,ANY,INFANT,0,6,0.7,,,L,AI,DRI macronutrients and water table provided by user,header footnote: a
DRI_US_CA,CARBOHYDRATE,Carbohydrate,MACRO,ANY,INFANT,0,6,60,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,TOTAL_FIBER,Total Fiber,MACRO,ANY,INFANT,0,6,,,,g,ND,DRI macronutrients and water table provided by user,
DRI_US_CA,FAT,Fat,MACRO,ANY,INFANT,0,6,31,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,LINOLEIC_ACID,Linoleic Acid,MACRO,ANY,INFANT,0,6,4.4,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,ALPHA_LINOLENIC_ACID,??-Linolenic Acid,MACRO,ANY,INFANT,0,6,0.5,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,PROTEIN,Protein,MACRO,ANY,INFANT,0,6,9.1,,,g,AI,DRI macronutrients and water table provided by user,header footnote: b
DRI_US_CA,TOTAL_WATER,Total Water,WATER,ANY,INFANT,7,12,0.8,,,L,AI,DRI macronutrients and water table provided by user,header footnote: a; normalized pasted 6?€?12 mo row to 7?€?12 mo to avoid overlap with 0?€?6 mo
DRI_US_CA,CARBOHYDRATE,Carbohydrate,MACRO,ANY,INFANT,7,12,95,,,g,AI,DRI macronutrients and water table provided by user,normalized pasted 6?€?12 mo row to 7?€?12 mo to avoid overlap with 0?€?6 mo
DRI_US_CA,TOTAL_FIBER,Total Fiber,MACRO,ANY,INFANT,7,12,,,,g,ND,DRI macronutrients and water table provided by user,normalized pasted 6?€?12 mo row to 7?€?12 mo to avoid overlap with 0?€?6 mo
DRI_US_CA,FAT,Fat,MACRO,ANY,INFANT,7,12,30,,,g,AI,DRI macronutrients and water table provided by user,normalized pasted 6?€?12 mo row to 7?€?12 mo to avoid overlap with 0?€?6 mo
DRI_US_CA,LINOLEIC_ACID,Linoleic Acid,MACRO,ANY,INFANT,7,12,4.6,,,g,AI,DRI macronutrients and water table provided by user,normalized pasted 6?€?12 mo row to 7?€?12 mo to avoid overlap with 0?€?6 mo
DRI_US_CA,ALPHA_LINOLENIC_ACID,??-Linolenic Acid,MACRO,ANY,INFANT,7,12,0.5,,,g,AI,DRI macronutrients and water table provided by user,normalized pasted 6?€?12 mo row to 7?€?12 mo to avoid overlap with 0?€?6 mo
DRI_US_CA,PROTEIN,Protein,MACRO,ANY,INFANT,7,12,11,,,g,RDA,DRI macronutrients and water table provided by user,header footnote: b; normalized pasted 6?€?12 mo row to 7?€?12 mo to avoid overlap with 0?€?6 mo
DRI_US_CA,TOTAL_WATER,Total Water,WATER,ANY,CHILD,12,36,1.3,,,L,AI,DRI macronutrients and water table provided by user,header footnote: a
DRI_US_CA,CARBOHYDRATE,Carbohydrate,MACRO,ANY,CHILD,12,36,130,,,g,RDA,DRI macronutrients and water table provided by user,
DRI_US_CA,TOTAL_FIBER,Total Fiber,MACRO,ANY,CHILD,12,36,19,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,FAT,Fat,MACRO,ANY,CHILD,12,36,,,,g,ND,DRI macronutrients and water table provided by user,cell footnote: c
DRI_US_CA,LINOLEIC_ACID,Linoleic Acid,MACRO,ANY,CHILD,12,36,7,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,ALPHA_LINOLENIC_ACID,??-Linolenic Acid,MACRO,ANY,CHILD,12,36,0.7,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,PROTEIN,Protein,MACRO,ANY,CHILD,12,36,13,,,g,RDA,DRI macronutrients and water table provided by user,header footnote: b
DRI_US_CA,TOTAL_WATER,Total Water,WATER,ANY,CHILD,48,96,1.7,,,L,AI,DRI macronutrients and water table provided by user,header footnote: a
DRI_US_CA,CARBOHYDRATE,Carbohydrate,MACRO,ANY,CHILD,48,96,130,,,g,RDA,DRI macronutrients and water table provided by user,
DRI_US_CA,TOTAL_FIBER,Total Fiber,MACRO,ANY,CHILD,48,96,25,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,FAT,Fat,MACRO,ANY,CHILD,48,96,,,,g,ND,DRI macronutrients and water table provided by user,
DRI_US_CA,LINOLEIC_ACID,Linoleic Acid,MACRO,ANY,CHILD,48,96,10,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,ALPHA_LINOLENIC_ACID,??-Linolenic Acid,MACRO,ANY,CHILD,48,96,0.9,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,PROTEIN,Protein,MACRO,ANY,CHILD,48,96,19,,,g,RDA,DRI macronutrients and water table provided by user,header footnote: b
DRI_US_CA,TOTAL_WATER,Total Water,WATER,MALE,NORMAL,108,156,2.4,,,L,AI,DRI macronutrients and water table provided by user,header footnote: a
DRI_US_CA,CARBOHYDRATE,Carbohydrate,MACRO,MALE,NORMAL,108,156,130,,,g,RDA,DRI macronutrients and water table provided by user,
DRI_US_CA,TOTAL_FIBER,Total Fiber,MACRO,MALE,NORMAL,108,156,31,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,FAT,Fat,MACRO,MALE,NORMAL,108,156,,,,g,ND,DRI macronutrients and water table provided by user,
DRI_US_CA,LINOLEIC_ACID,Linoleic Acid,MACRO,MALE,NORMAL,108,156,12,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,ALPHA_LINOLENIC_ACID,??-Linolenic Acid,MACRO,MALE,NORMAL,108,156,1.2,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,PROTEIN,Protein,MACRO,MALE,NORMAL,108,156,34,,,g,RDA,DRI macronutrients and water table provided by user,header footnote: b
DRI_US_CA,TOTAL_WATER,Total Water,WATER,MALE,NORMAL,168,216,3.3,,,L,AI,DRI macronutrients and water table provided by user,header footnote: a
DRI_US_CA,CARBOHYDRATE,Carbohydrate,MACRO,MALE,NORMAL,168,216,130,,,g,RDA,DRI macronutrients and water table provided by user,
DRI_US_CA,TOTAL_FIBER,Total Fiber,MACRO,MALE,NORMAL,168,216,38,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,FAT,Fat,MACRO,MALE,NORMAL,168,216,,,,g,ND,DRI macronutrients and water table provided by user,
DRI_US_CA,LINOLEIC_ACID,Linoleic Acid,MACRO,MALE,NORMAL,168,216,16,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,ALPHA_LINOLENIC_ACID,??-Linolenic Acid,MACRO,MALE,NORMAL,168,216,1.6,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,PROTEIN,Protein,MACRO,MALE,NORMAL,168,216,52,,,g,RDA,DRI macronutrients and water table provided by user,header footnote: b
DRI_US_CA,TOTAL_WATER,Total Water,WATER,MALE,NORMAL,228,360,3.7,,,L,AI,DRI macronutrients and water table provided by user,header footnote: a
DRI_US_CA,CARBOHYDRATE,Carbohydrate,MACRO,MALE,NORMAL,228,360,130,,,g,RDA,DRI macronutrients and water table provided by user,
DRI_US_CA,TOTAL_FIBER,Total Fiber,MACRO,MALE,NORMAL,228,360,38,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,FAT,Fat,MACRO,MALE,NORMAL,228,360,,,,g,ND,DRI macronutrients and water table provided by user,
DRI_US_CA,LINOLEIC_ACID,Linoleic Acid,MACRO,MALE,NORMAL,228,360,17,,,g,AI,DRI macronutrients and water table provided by user,
DRI_US_CA,ALPHA_LINOLENIC_ACID,??-Linolenic Acid,MACRO,MALE,NORMAL,228,360,1.6,,,g,AI,DRI macronutrients and water table provided by user,
