standard,nutrient_key,display_name,category,sex,life_stage,age_min_months,age_max_months,target_value,target_min_value,target_max_value,unit,reference_type,source,notes
DRI_US_CA,ARSENIC,Arsenic,MINERAL,ANY,INFANT,0,6,ND,,,,UL,DRI tolerable upper intake level elements table provided by user,header footnote: a; cell footnote: f
DRI_US_CA,BORON,Boron,MINERAL,ANY,INFANT,0,6,ND,,,mg,UL,DRI tolerable upper intake level elements table provided by user,
DRI_US_CA,CALCIUM,Calcium,MINERAL,ANY,INFANT,0,6,1000,,,mg,UL,DRI tolerable upper intake level elements table provided by user,cell footnote: g
DRI_US_CA,CHROMIUM,Chromium,MINERAL,ANY,INFANT,0,6,ND,,,,UL,DRI tolerable upper intake level elements table provided by user,
DRI_US_CA,COPPER,Copper,MINERAL,ANY,INFANT,0,6,ND,,,μg,UL,DRI tolerable upper intake level elements table provided by user,
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,ANY,INFANT,0,6,0.7,,,mg,UL,DRI tolerable upper intake level elements table provided by user,
DRI_US_CA,IODINE,Iodine,MINERAL,ANY,INFANT,0,6,ND,,,μg,UL,DRI tolerable upper intake level elements table provided by user,
DRI_US_CA,IRON,Iron,MINERAL,ANY,INFANT,0,6,40,,,mg,UL,DRI tolerable upper intake level elements table provided by user,
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,ANY,INFANT,0,6,ND,,,mg,UL,DRI tolerable upper intake level elements table provided by user,header footnote: b
DRI_US_CA,MANGANESE,Manganese,MINERAL,ANY,INFANT,0,6,ND,,,mg,UL,DRI tolerable upper intake level elements table provided by user,
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,ANY,INFANT,0,6,ND,,,μg,UL,DRI tolerable upper intake level elements table provided by user,
DRI_US_CA,NICKEL,Nickel,MINERAL,ANY,INFANT,0,6,ND,,,mg,UL,DRI tolerable upper intake level elements table provided by user,
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,ANY,INFANT,0,6,ND,,,g,UL,DRI tolerable upper intake level elements table provided by user,
DRI_US_CA,POTASSIUM,Potassium,MINERAL,ANY,INFANT,0,6,ND,,,,UL,DRI tolerable upper intake level elements table provided by user,cell footnote: h
DRI_US_CA,SELENIUM,Selenium,MINERAL,ANY,INFANT,0,6,45,,,μg,UL,DRI tolerable upper intake level elements table provided by user,
DRI_US_CA,SILICON,Silicon,MINERAL,ANY,INFANT,0,6,ND,,,,UL,DRI tolerable upper intake level elements table provided by user,header footnote: c
DRI_US_CA,SULFATE,Sulfate,MINERAL,ANY,INFANT,0,6,ND,,,,UL,DRI tolerable upper intake level elements table provided by user,
DRI_US_CA,VANADIUM,Vanadium,MINERAL,ANY,INFANT,0,6,ND,,,mg,UL,DRI tolerable upper intake level elements table provided by user,header footnote: d
DRI_US_CA,ZINC,Zinc,MINERAL,ANY,INFANT,0,6,4,,,mg,UL,DRI tolerable upper intake level elements table provided by user,
DRI_US_CA,SODIUM,Sodium,MINERAL,ANY,INFANT,0,6,ND,,,,UL,DRI tolerable upper intake level elements table provided by user,header footnote: e; cell footnote: h
DRI_US_CA,CHLORIDE,Chloride,MINERAL,ANY,INFANT,0,6,ND,,,g,UL,DRI tolerable upper intake level elements table provided by user,
DRI_US_CA,ARSENIC,Arsenic,MINERAL,ANY,INFANT,7,12,ND,,,,UL,DRI tolerable upper intake level elements table provided by user,header footnote: a; normalized 7–12 mo infant row
DRI_US_CA,BORON,Boron,MINERAL,ANY,INFANT,7,12,ND,,,mg,UL,DRI tolerable upper intake level elements table provided by user,normalized 7–12 mo infant row
DRI_US_CA,CALCIUM,Calcium,MINERAL,ANY,INFANT,7,12,1500,,,mg,UL,DRI tolerable upper intake level elements table provided by user,cell footnote: g; normalized 7–12 mo infant row
DRI_US_CA,CHROMIUM,Chromium,MINERAL,ANY,INFANT,7,12,ND,,,,UL,DRI tolerable upper intake level elements table provided by user,normalized 7–12 mo infant row
DRI_US_CA,COPPER,Copper,MINERAL,ANY,INFANT,7,12,ND,,,μg,UL,DRI tolerable upper intake level elements table provided by user,normalized 7–12 mo infant row
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,ANY,INFANT,7,12,0.9,,,mg,UL,DRI tolerable upper intake level elements table provided by user,normalized 7–12 mo infant row
DRI_US_CA,IODINE,Iodine,MINERAL,ANY,INFANT,7,12,ND,,,μg,UL,DRI tolerable upper intake level elements table provided by user,normalized 7–12 mo infant row
DRI_US_CA,IRON,Iron,MINERAL,ANY,INFANT,7,12,40,,,mg,UL,DRI tolerable upper intake level elements table provided by user,normalized 7–12 mo infant row
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,ANY,INFANT,7,12,ND,,,mg,UL,DRI tolerable upper intake level elements table provided by user,header footnote: b; normalized 7–12 mo infant row
DRI_US_CA,MANGANESE,Manganese,MINERAL,ANY,INFANT,7,12,ND,,,mg,UL,DRI tolerable upper intake level elements table provided by user,normalized 7–12 mo infant row
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,ANY,INFANT,7,12,ND,,,μg,UL,DRI tolerable upper intake level elements table provided by user,normalized 7–12 mo infant row
DRI_US_CA,NICKEL,Nickel,MINERAL,ANY,INFANT,7,12,ND,,,mg,UL,DRI tolerable upper intake level elements table provided by user,normalized 7–12 mo infant row
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,ANY,INFANT,7,12,ND,,,g,UL,DRI tolerable upper intake level elements table provided by user,normalized 7–12 mo infant row
DRI_US_CA,POTASSIUM,Potassium,MINERAL,ANY,INFANT,7,12,ND,,,,UL,DRI tolerable upper intake level elements table provided by user,cell footnote: h; normalized 7–12 mo infant row
DRI_US_CA,SELENIUM,Selenium,MINERAL,ANY,INFANT,7,12,60,,,μg,UL,DRI tolerable upper intake level elements table provided by user,normalized 7–12 mo infant row
DRI_US_CA,SILICON,Silicon,MINERAL,ANY,INFANT,7,12,ND,,,,UL,DRI tolerable upper intake level elements table provided by user,header footnote: c; normalized 7–12 mo infant row
DRI_US_CA,SULFATE,Sulfate,MINERAL,ANY,INFANT,7,12,ND,,,,UL,DRI tolerable upper intake level elements table provided by user,normalized 7–12 mo infant row
DRI_US_CA,VANADIUM,Vanadium,MINERAL,ANY,INFANT,7,12,ND,,,mg,UL,DRI tolerable upper intake level elements table provided by user,header footnote: d; normalized 7–12 mo infant row
DRI_US_CA,ZINC,Zinc,MINERAL,ANY,INFANT,7,12,5,,,mg,UL,DRI tolerable upper intake level elements table provided by user,normalized 7–12 mo infant row
DRI_US_CA,SODIUM,Sodium,MINERAL,ANY,INFANT,7,12,ND,,,,UL,DRI tolerable upper intake level elements table provided by user,header footnote: e; cell footnote: h; normalized 7–12 mo infant row
DRI_US_CA,CHLORIDE,Chloride,MINERAL,ANY,INFANT,7,12,ND,,,g,UL,DRI tolerable upper intake level elements table provided by user,normalized 7–12 mo infant row
DRI_US_CA,ARSENIC,Arsenic,MINERAL,ANY,CHILD,12,36,ND,,,,UL,DRI tolerable upper intake level elements table provided by user,header footnote: a
