standard,nutrient_key,display_name,category,sex,life_stage,age_min_months,age_max_months,target_value,target_min_value,target_max_value,unit,reference_type,source,notes
DRI_US_CA,VITAMIN_A,Vitamin A,VITAMIN,ANY,INFANT,0,6,600,,,μg,UL,DRI tolerable upper intake level vitamins table provided by user,header footnote: a
DRI_US_CA,VITAMIN_C,Vitamin C,VITAMIN,ANY,INFANT,0,6,ND,,,mg,UL,DRI tolerable upper intake level vitamins table provided by user,cell footnote: e
DRI_US_CA,VITAMIN_D,Vitamin D,VITAMIN,ANY,INFANT,0,6,25,,,μg,UL,DRI tolerable upper intake level vitamins table provided by user,
DRI_US_CA,VITAMIN_E,Vitamin E,VITAMIN,ANY,INFANT,0,6,ND,,,mg,UL,DRI tolerable upper intake level vitamins table provided by user,"header footnote: b,c"
DRI_US_CA,VITAMIN_K,Vitamin K,VITAMIN,ANY,INFANT,0,6,ND,,,μg,UL,DRI tolerable upper intake level vitamins table provided by user,
DRI_US_CA,THIAMIN,Thiamin,VITAMIN,ANY,INFANT,0,6,ND,,,mg,UL,DRI tolerable upper intake level vitamins table provided by user,
DRI_US_CA,RIBOFLAVIN,Riboflavin,VITAMIN,ANY,INFANT,0,6,ND,,,mg,UL,DRI tolerable upper intake level vitamins table provided by user,
DRI_US_CA,NIACIN,Niacin,VITAMIN,ANY,INFANT,0,6,ND,,,mg,UL,DRI tolerable upper intake level vitamins table provided by user,header footnote: c
DRI_US_CA,VITAMIN_B6,Vitamin B6,VITAMIN,ANY,INFANT,0,6,ND,,,mg,UL,DRI tolerable upper intake level vitamins table provided by user,
DRI_US_CA,FOLATE,Folate,VITAMIN,ANY,INFANT,0,6,ND,,,μg,UL,DRI tolerable upper intake level vitamins table provided by user,header footnote: c
DRI_US_CA,VITAMIN_B12,Vitamin B12,VITAMIN,ANY,INFANT,0,6,ND,,,μg,UL,DRI tolerable upper intake level vitamins table provided by user,
DRI_US_CA,PANTOTHENIC_ACID,Pantothenic Acid,VITAMIN,ANY,INFANT,0,6,ND,,,mg,UL,DRI tolerable upper intake level vitamins table provided by user,
DRI_US_CA,BIOTIN,Biotin,VITAMIN,ANY,INFANT,0,6,ND,,,μg,UL,DRI tolerable upper intake level vitamins table provided by user,
DRI_US_CA,CHOLINE,Choline,VITAMIN,ANY,INFANT,0,6,ND,,,g,UL,DRI tolerable upper intake level vitamins table provided by user,
DRI_US_CA,CAROTENOIDS,Carotenoids,VITAMIN,ANY,INFANT,0,6,ND,,,,UL,DRI tolerable upper intake level vitamins table provided by user,header footnote: d
DRI_US_CA,VITAMIN_A,Vitamin A,VITAMIN,ANY,INFANT,7,12,600,,,μg,UL,DRI tolerable upper intake level vitamins table provided by user,header footnote: a; normalized pasted 6–12 mo row to 7–12 mo to avoid overlap with 0–6 mo
DRI_US_CA,VITAMIN_C,Vitamin C,VITAMIN,ANY,INFANT,7,12,ND,,,mg,UL,DRI tolerable upper intake level vitamins table provided by user,normalized pasted 6–12 mo row to 7–12 mo to avoid overlap with 0–6 mo
DRI_US_CA,VITAMIN_D,Vitamin D,VITAMIN,ANY,INFANT,7,12,38,,,μg,UL,DRI tolerable upper intake level vitamins table provided by user,normalized pasted 6–12 mo row to 7–12 mo to avoid overlap with 0–6 mo
DRI_US_CA,VITAMIN_E,Vitamin E,VITAMIN,ANY,INFANT,7,12,ND,,,mg,UL,DRI tolerable upper intake level vitamins table provided by user,"header footnote: b,c; normalized pasted 6–12 mo row to 7–12 mo to avoid overlap with 0–6 mo"
DRI_US_CA,VITAMIN_K,Vitamin K,VITAMIN,ANY,INFANT,7,12,ND,,,μg,UL,DRI tolerable upper intake level vitamins table provided by user,normalized pasted 6–12 mo row to 7–12 mo to avoid overlap with 0–6 mo
DRI_US_CA,THIAMIN,Thiamin,VITAMIN,ANY,INFANT,7,12,ND,,,mg,UL,DRI tolerable upper intake level vitamins table provided by user,normalized pasted 6–12 mo row to 7–12 mo to avoid overlap with 0–6 mo
DRI_US_CA,RIBOFLAVIN,Riboflavin,VITAMIN,ANY,INFANT,7,12,ND,,,mg,UL,DRI tolerable upper intake level vitamins table provided by user,normalized pasted 6–12 mo row to 7–12 mo to avoid overlap with 0–6 mo
DRI_US_CA,NIACIN,Niacin,VITAMIN,ANY,INFANT,7,12,ND,,,mg,UL,DRI tolerable upper intake level vitamins table provided by user,header footnote: c; normalized pasted 6–12 mo row to 7–12 mo to avoid overlap with 0–6 mo
