standard,nutrient_key,display_name,category,sex,life_stage,age_min_months,age_max_months,target_value,target_min_value,target_max_value,unit,reference_type,source_life_stage_group,source,notes
DRI_US_CA,CALCIUM,Calcium,MINERAL,ANY,INFANT,0,6,200,,,mg,AI,Infants 0-6 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Original table value includes footnote a
DRI_US_CA,CHROMIUM,Chromium,MINERAL,ANY,INFANT,0,6,0.2,,,μg,AI,Infants 0-6 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,COPPER,Copper,MINERAL,ANY,INFANT,0,6,200,,,μg,AI,Infants 0-6 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,ANY,INFANT,0,6,0.01,,,mg,AI,Infants 0-6 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IODINE,Iodine,MINERAL,ANY,INFANT,0,6,110,,,μg,AI,Infants 0-6 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IRON,Iron,MINERAL,ANY,INFANT,0,6,0.27,,,mg,AI,Infants 0-6 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,ANY,INFANT,0,6,30,,,mg,AI,Infants 0-6 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MANGANESE,Manganese,MINERAL,ANY,INFANT,0,6,0.003,,,mg,AI,Infants 0-6 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,ANY,INFANT,0,6,2,,,μg,AI,Infants 0-6 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,ANY,INFANT,0,6,100,,,mg,AI,Infants 0-6 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,SELENIUM,Selenium,MINERAL,ANY,INFANT,0,6,15,,,μg,AI,Infants 0-6 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,ZINC,Zinc,MINERAL,ANY,INFANT,0,6,2,,,mg,AI,Infants 0-6 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,POTASSIUM,Potassium,MINERAL,ANY,INFANT,0,6,400,,,mg,AI,Infants 0-6 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,SODIUM,Sodium,MINERAL,ANY,INFANT,0,6,110,,,mg,AI,Infants 0-6 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CHLORIDE,Chloride,MINERAL,ANY,INFANT,0,6,0.18,,,g,AI,Infants 0-6 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CALCIUM,Calcium,MINERAL,ANY,INFANT,7,12,260,,,mg,AI,Infants 7-12 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Original table value includes footnote a
DRI_US_CA,CHROMIUM,Chromium,MINERAL,ANY,INFANT,7,12,5.5,,,μg,AI,Infants 7-12 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,COPPER,Copper,MINERAL,ANY,INFANT,7,12,220,,,μg,AI,Infants 7-12 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,ANY,INFANT,7,12,0.5,,,mg,AI,Infants 7-12 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IODINE,Iodine,MINERAL,ANY,INFANT,7,12,130,,,μg,AI,Infants 7-12 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IRON,Iron,MINERAL,ANY,INFANT,7,12,11,,,mg,RDA,Infants 7-12 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,ANY,INFANT,7,12,75,,,mg,AI,Infants 7-12 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MANGANESE,Manganese,MINERAL,ANY,INFANT,7,12,0.6,,,mg,AI,Infants 7-12 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,ANY,INFANT,7,12,3,,,μg,AI,Infants 7-12 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,ANY,INFANT,7,12,275,,,mg,AI,Infants 7-12 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
